epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8987,1.26152,2.66294,1.26992,0.78663,0.87173,0.88913,0.53509,1.44963,1.24697,1.40527,0.00019569,0.00019569,0.00019569
2,128.425,1.06457,1.50908,1.15525,0.86998,0.95265,0.93893,0.67997,1.05707,0.91324,1.20234,0.000387812,0.000387812,0.000387812
3,190.595,1.01969,1.23444,1.13388,0.79177,0.96355,0.932,0.65242,1.12112,0.79845,1.22312,0.000576054,0.000576054,0.000576054
4,252.933,0.98009,1.06607,1.12542,0.88386,0.96347,0.97352,0.70104,1.08659,0.68635,1.20973,0.000570536,0.000570536,0.000570536
5,315.002,0.93944,0.93324,1.10605,0.89307,0.97014,0.97542,0.71169,1.02922,0.65473,1.17876,0.000564715,0.000564715,0.000564715
6,377.052,0.92383,0.87934,1.09534,0.89651,0.9846,0.97304,0.73482,0.93608,0.59756,1.13803,0.000558894,0.000558894,0.000558894
7,439.202,0.8912,0.81966,1.08299,0.92472,0.96526,0.95387,0.74256,0.86917,0.5582,1.09465,0.000553073,0.000553073,0.000553073
8,501.527,0.87463,0.78526,1.0744,0.88794,0.96522,0.97052,0.73426,0.93739,0.55291,1.14374,0.000547252,0.000547252,0.000547252
9,563.749,0.847,0.73409,1.06225,0.89837,0.93848,0.97584,0.74694,0.92553,0.54177,1.12091,0.00054143,0.00054143,0.00054143
10,625.724,0.8362,0.707,1.05338,0.88417,0.97272,0.96805,0.75602,0.86714,0.5399,1.08164,0.000535609,0.000535609,0.000535609
11,688.203,0.82455,0.69706,1.04591,0.92931,0.9636,0.97844,0.7516,0.90882,0.47858,1.14277,0.000529788,0.000529788,0.000529788
12,750.469,0.81313,0.67446,1.0429,0.93135,0.97454,0.98269,0.76627,0.83217,0.47337,1.07193,0.000523967,0.000523967,0.000523967
13,812.788,0.80374,0.65908,1.03653,0.91398,0.96947,0.95951,0.75397,0.83294,0.46761,1.08544,0.000518146,0.000518146,0.000518146
14,875.001,0.80187,0.64749,1.0344,0.94153,0.96123,0.9708,0.76645,0.82226,0.44558,1.0642,0.000512324,0.000512324,0.000512324
